Url,Title,OldType,Location,Date,Description,NewType
http://calendars.illinois.edu/detail/7?eventId=33287961,Sousa and Tsar Nicholas II’s Birthday: An Unexpected Tour Adventure,Exhibition,"Sousa Archives and Center for American Music, 1103 S. Sixth Street, Champaign","Aug 21, 2017 - Aug 6, 2018    All Day ","2017 American Music Month Exhibit
The Russian imperial capital of St. Petersburg was a major stop during John Philip Sousa’s 1903 tour of Europe.  Sousa planned his St. Petersburg performances to coincide with the tsar’s birthday and the bicentennial of the city’s founding, and anticipated large audiences for these concerts because the band had never before played in Russia.  What resulted, however, was a misadventure.  The concerts occurred at the beginning of Russia’s annual summer vacation when most theaters and concerts halls were closed.  In addition Russian music critics’ responses to his music was tepid.  Sousa was intimidated by the extensive advertising throughout the city for what he initially believed to be his music rival Суза, but eventually discovered that this was the Russian spelling of his own name.   While the St. Petersburg performances were not well attended, the concerts did spark deep patriotism among the American diplomats who were able to attend and the Russian aristocracy and military enthusiastically received the Sousa Band’s renditions of the Imperial Russian and American national anthems.  This exhibit of photographs, music, newspaper reviews, and political cartoons document Russian perceptions of America and Sousa’s music at the beginning of the twentieth century.
For more information, please visit https://archives.library.illinois.edu/sousa/american-music-month/. ",Exhibition
http://calendars.illinois.edu/detail/7?eventId=33285326,Knowledge at Work: The University of Illinois at 150,Exhibition,Spurlock Museum,"Sep 12, 2017 - Aug 15, 2018    All Day ","The exhibit Knowledge at Work: The University of Illinois at 150 traces the connections between the University of Illinois and people, places, and ideas near and far. Explore this community of educators, researchers, and students over decades of learning, research, and public service. Learn about contributions of a wide variety of people and groups to campus history and ways the University has changed how it relates to the people it serves.
 
From its founding as a Land Grant institution in 1867 focused on agriculture and engineering, through expansions into arts, graduate studies, and national and international collaborations, the University has maintained a mission to deliver education and research in service to society. In Knowledge at Work, we look at the role of the University of Illinois as a nexus for bringing together people with diverse backgrounds, perspectives, and experiences in a common pursuit. The background and needs of students and faculty have changed over time, inspiring new facilities, curricula, and services.
On display are artifacts, documents, and photographs from throughout the University’s history: books from the first library collection, a course schedule from 1877, panels from early ILLIAC computers, and Olympian Jean Driscoll’s racing chair.
The exhibit is accompanied by a series of events for all ages: talks, exhibit tours with the curator, family hands-on activities, and historic campus walking tours. Visit the Museum’s website to learn more http://www.spurlock.illinois.edu/events/#ui150.
Knowledge at Work runs September 12, 2017–December 21, 2018 and was developed in partnership with the University of Illinois Archives.",Exhibition
http://calendars.illinois.edu/detail/7?eventId=33287963,“From Russia with Love:” John Garvey’s Russian Folk Orchestra,Exhibition,"Sousa Archives and Center for American Music, 1103 S. Sixth Street, Champaign","Oct 12, 2017 - Sep 3, 2018    All Day ","2017 American Music Month Exhibit
The University of Illinois Russian Folk Orchestra was founded in 1974 by John Garvey, who had joined the University’s Walden String Quartet in 1948 as its violist and in 1959 established the university’s jazz band program.  In 1969, the jazz band toured the Soviet Union as part of the State Department’s cultural exchange program, and Garvey developed a keen interest in Russian folk music.  He later returned to the USSR to study Russian folk music traditions and purchased additional folk instruments that he used to establish the Illinois Russian Folk Orchestra.  The Illinois ensemble eventually served as a model for other American universities’ Russian folk orchestras by providing open depoliticized educational spaces for students to pursue their interest in Russian folk music traditions.  This exhibit of folk instruments, photographs, and music provides visitors with a general introduction to Russian folk music traditions and culture that were promoted by the Soviet Union after the Russian Revolution and the folk musicians who immigrated to the United States after WWII.  It also acknowledges many of the talented musicians who performed with the University of Illinois’ Russian Folk Orchestra under Garvey’s direction between 1974 and 1989 and reveals a forgotten part of the University of Illinois’ musical past.
For more information, please visit https://archives.library.illinois.edu/sousa/american-music-month/. ",Exhibition
http://calendars.illinois.edu/detail/7?eventId=33287966,Illinois’ Anti-Establishment Soundscapes: Troubled Waters in 1970,Exhibition,"Sousa Archives and Center for American Music, 1103 S. Sixth Street, Champaign","Oct 30, 2017 - Oct 29, 2018    All Day ","2017 American Music Month Exhibit
During the late 1960s many university campuses across America experienced significant political and social turmoil.  For the University of Illinois the spring of 1970 was a time of tremendous political unrest among students and faculty regarding America’s involvement in the Vietnam war, the US Department of Defense’s construction of the Illiac IV supercomputer on campus, the Champaign-Urbana police force’s killing of an unarmed African American student on the Illinois campus, and the Ohio National Guard’s shooting of four students on the campus of Kent State University.   While Illinois’ students and many of its faculty frequently came together at this time to protest the Federal government’s growing political oppression and imperialism, the campus’ activists and protestors used many different music genres to convey their messages across the Urbana-Champaign campus.  Music groups like the Campus Folksong Club, the Walden String Quartet, Medicare 7, 8, or 9, and REO Speedwagon as well as many faculty members from the University’s School of Music frequently lent their musical talents to support these political and social protests.  This exhibit of photographs, news clippings, advertisements, protest broadsides, concert programs, graphic illustrations, and audio recordings highlight the diverse intersections of music, art, and protest on the Illinois campus during the 1970 school year.
For more information, please visit https://archives.library.illinois.edu/sousa/american-music-month/. ",Exhibition
http://calendars.illinois.edu/detail/7?eventId=33302534,Pioneer Agricultural Journalists Exhibit,Exhibition,"Funk ACES Library, 2nd Floor, 1101 South Goodwin Avenue, Urbana","Mar 14, 2018 - Jun 1, 2018    All Day ","This exhibit provides a sampling of early agricultural editors, focusing on the fifteen journalists William Edward Ogilvie writes about in Pioneering Agricultural Journalists: Brief Biographical Sketches of Some of the Early Editors in the Field of Agricultural Journalism. These pioneering agricultural journalists have used their publications to disseminate agrarian and farming knowledge and to expand the field. You can also visit the Agricultural Communications Documentation Center by appointment to get an up-close look some of the early Ag Comm journals mentioned in the exhibit (and others!) in the Center’s Volume 1 Number 1 Collection.
Visit the online exhibit available here: http://go.library.illinois.edu/agjournalist",Exhibition
http://calendars.illinois.edu/detail/7?eventId=33304974,Allerton Community Yoga,Conference/Workshop,Allerton Meadow,"May 6, 2018   9:00  - 10:00 am   ","Find your inner zen and grab some beautiful plants to brighten your spirit! Josie from Yoga Off the Square will be offering a donation based yoga class in the meadow during the Spring into Summer Plant Sale Fundraiser.
Allerton provides the perfect setting to relax and unwind, while strengthening your mind, body, and spirit. All levels are welcome for this donation-based class, focusing on waking up the body. Move through strength poses and end with cooling postures for the nervous system.
No props are necessary, but mats are encouraged and you are welcome to bring anything you use in your yoga practice. A limited number of mats will be available for use.
Location: Allerton Meadow (Suggested arrival time – 8:45am)
Please print and sign the liability form and bring it with you to class.
Donations will directly benefit Allerton Park Community Programming & maintenance of the 14 Formal Gardens.",Conference/Workshop
http://calendars.illinois.edu/detail/7?eventId=33294128,Artifact Encounters,Other,Spurlock Museum,"May 6, 2018   1:00  - 3:30 pm   ","Artifact Encounters will be held on the first, third, and fifth Sundays of each month from January 7 through May 20. Get up close on mini-tours of exhibits and collections, try hands-on artifacts, and go head to head with your friends playing some new multicultural board games.",Other
http://calendars.illinois.edu/detail/7?eventId=33304264,Compass 2g Workshop - Grade Center Drop-in Clinic,Conference/Workshop,Armory Building Room 156 conference room G at 9:30AM,,Event Time:  9:30AM - 10:30AM,Conference/Workshop
http://calendars.illinois.edu/detail/7?eventId=33291442,Well at Work- On the Web! Staying Fit in a Frantic World Webinar,Health/Fitness,Online- Webinar,"May 8, 2018   12:00  - 1:00 pm   ","Staying Fit in a Frantic World addresses common barriers to attaining a regular physical activity routine, and helps participants discover realistic methods of fitting physical activity into a busy lifestyle.",Health/Fitness
http://calendars.illinois.edu/detail/7?eventId=33305287,University Primary School Art Show,Exhibition,"Krannert Art Museum, Link Gallery (408 E. Peabody, Champaign)","May 9, 2018 - May 10, 2018   8:30 am - 5:00 pm   ","You are invited to attend University Primary School's Preschool-5th grade student exhibit at Link Gallery, Thursday, May 10, during regular operating hours. The exhibit features art work from Uni Primary school children including a special project to be shared abroad this summer in Greece.",Exhibition
http://calendars.illinois.edu/detail/7?eventId=33305192,2017-2018 NCSA Faculty Fellows Presentations,Lecture,1040 NCSA,"May 9, 2018   12:00 pm   ",Please join us for presentations from the 2017-2018 NCSA Faculty Fellows and learn more about the work they have been conducting over the past year. Lunch will be provided.,Exhibition
http://calendars.illinois.edu/detail/7?eventId=33305146,Weight Watchers,Health/Fitness,"249 Bevier Hall (Bevier Commons), 905 South Goodwin Ave, Urbana","May 10, 2018   12:15  - 12:45 pm   ","Weight Watchers meets every Thursday in Bevier Commons (room 249 Bevier Hall), 905 South Goodwin Avenue, Urbana.  Confidential weigh-in starts at noon, and the meeting runs from 12:15-12:45.  Details about cost and attendance will be provided at the first meeting you attend.  If you have questions, please contact vandvntr@illinois.edu.",Health/Fitness
http://calendars.illinois.edu/detail/7?eventId=33305333,Japanese Tea Ceremony,Ceremony/Service,"2000 South Lincoln Avenue Urbana, IL 61802","May 10, 2018   3:00  - 4:00 pm   ","Join us for a traditional Japanese tea ceremony. Chado, or the Way of Tea, is one of the most ancient and revered arts of Japan, and is at the very heart of Japan House. Learn the history behind this art, and enjoy a bowl of matcha tea and a traditional sweet. Experience a moment of peace.
Reservations are required. You will be asked to remove your shoes (or use shoe covers) when you enter, and to wear white socks (we have some to lend you if you forget). We also ask that legs be covered as is traditional in Japan. You will be kneeling or sitting on the tatami mats, but if that is a problem we can easily pull a chair up to the tea room for you, and you still still be at the same height as the other participants.",Exhibition
http://calendars.illinois.edu/detail/7?eventId=33305377,Yoga at Krannert Art Museum,Health/Fitness,"Krannert Art Museum, CRL gallery, lower level","May 11, 2018   12:00  - 1:00 pm   ","Yoga at Krannert Art Museum occurs every Friday from 12:00 pm to 1:00 pm. Sessions do not meet when classes don't (spring/fall break, holidays, etc ...). However, sessions do run all summer long.
 
A Friday lunchtime series of free yoga classes introduces participants to the fundamentals of hatha yoga: seated and standing asanas (poses), breath awareness, and relaxation techniques. Participants should bring their own yoga mats and wear comfortable clothing.",Health/Fitness
http://calendars.illinois.edu/detail/7?eventId=33304028,NCSA Gravity Group Spring Symposium 2018,Seminar/Symposium,1040 NCSA,"May 11, 2018   1:00 pm   ","The NCSA Gravity Group has a broad research portfolio across multiple areas of contemporary gravitational wave astrophysics, astrodynamics and multi-messenger astrophysics. Our research includes the use, development and support of the open source community Einstein Toolkit, the exploitation of the Blue Waters supercomputer and XSEDE for large scale gravitational wave data analysis and numerical relativity, development of machine and deep learning algorithms for the detection, and the characterization and scientific exploitation of gravitational wave signals and their electromagnetic and astro-particle counterparts.
The event is open to all but space is limited, so register today.",Exhibition
http://calendars.illinois.edu/detail/7?eventId=33294282,YesPlus UIUC Yoga & Meditation Session,Health/Fitness,"Illini Union, room 314","May 11, 2018   6:00  - 7:00 pm   ","Yoga and Meditation by YesPlus
 
Come de-stress and energize your body and mind with 1-hour session of mixed yoga and meditation. Yoga mats provided. 
 
Timing & Venue:
Every Monday 6:30-7:30pm @ Orchard Down Community Center
 
Every Friday 6-7pm @ Illini Union Room 314",Health/Fitness
http://calendars.illinois.edu/detail/7?eventId=33303258,"Science at the Market: Office for Mathematics, Science, and Technology Education (MSTE )",Other,"Market at the Square, Lincoln Square, Urbana, IL","May 12, 2018   8:00 am - 12:00 pm   ","For the 9th year, the U of I is bringing ""Science at the Market"" on most Saturday mornings to the Farmers Market at Lincoln Square mall in Urbana. The U of I and other experts will be on hand with demonstrations illustrating the science they represent, and to answer questions from the public about the researchers' discipline.",Exhibition
http://calendars.illinois.edu/detail/7?eventId=21388403,Commencement,Other,Memorial Stadium,"May 12, 2018   ",,Other
http://calendars.illinois.edu/detail/7?eventId=33305537,KAM Exhibition | Provenance: A Forensic History of Art,Exhibition,"KAM Main Level, Kinkead Gallery","May 12, 2018    All Day ","This exhibition draws from ongoing research into the Nazi-era provenance of KAM’s European painting collection to explore diverse facets of provenance research including genealogy, documentation, the identification of marks and labels, and attribution.",Exhibition
http://calendars.illinois.edu/detail/7?eventId=33305295,Summer 2018 Student Health Insurance Open Enrollment,Other,"McKinley Health Center, 1109 S. Lincoln Ave., Urbana","May 12, 2018    All Day ","Without proper health insurance, injury or illness can feel like walking a tightrope without a safety net. As a student, you should only need to focus on academics and college life—not whether you can pay for an unexpected trip to the doctor or emergency room.
The Student Health Insurance office is here to ensure you have all the information needed to make the right decision about your health care coverage needs.
Call, email, or stop in to set up an appointment—no question is too small.
Walk-in hours: M-F, 8am-5pm Phone: M-F, 8am-5pm(217) 333-0165insure@illinois.eduMcKinley Health Center, 1109 S. Lincoln Ave., Urbana",Other
http://calendars.illinois.edu/detail/7?eventId=33295517,KAM Exhibition | 2018 School of Art + Design Bachelor of Fine Arts Exhibition,Exhibition,"Krannert Art Museum Main Level, Rosann Gelvin Noel Gallery and East Gallery","May 12, 2018   9:00 am   ","In this annual exhibition, Bachelor of Fine Arts graduates present a range of art and design studio practices that illustrate their work with physical materials and digital media. The Bachelor of Fine Arts exhibition displays to the public the School of Art + Design undergraduate curriculum committed to the arts as a distinct and necesary approach to understanding and as an expression of diverse human experiences.
Sponsored in part by John and Alice Pfeffer.
All exhibitions are free and open to the public, open during normal museum hours. Please visit http://www.kam.illinois.edu for more information.",Exhibition
